Link,Text,Headline,Datum,Zeitschrift,Rubrik,Land,Land(Herkunft),Stadt
https://www.airliners.de/thueringer-koalitionsstreit-flughafen-erfurt-weimar/56209,"Der Thüringer Verkehrsminister von den Linken weist Forderungen des grünen Koalitionspartners zurück, den Flughafen Erfurt-Weimar aus Klimaschutzgründen zu schließen. Auch die anderen Parteien wollen Arbeitsplätze und Investitionen schützen.
            
Thüringens Verkehrsminister Benjamin-Immanuel Hoff (Linke) hat die Forderung der Grünen nach einer Schließung des Flughafens Erfurt-Weimar zurückgewiesen. Notwendig sei vielmehr eine Strategie, wie sich gangbare wirtschaftliche Perspektiven für den Flughafen Erfurt entwickeln lassen, sagte der Minister am Freitag der Deutschen Presse-Agentur.
Die vorhandene Infrastruktur müsse für eine zukunftsfähige Entwicklung des Geländes und der Region genutzt werden. Hoff verwies darauf, dass mehr als 2300 Arbeitsplätze direkt oder indirekt an dem Flughafen hingen. ""Mit dem aktuellen Vorstoß der Grünen erhält die Diskussion eine Schieflage, da es zunächst erstmal eine ideologische Forderung der Flughafenschließung ist.""
Die Grünen-Landtagsfraktion hatte ein Klima-Programm für Thüringen vorgelegt und sich darin unter anderem für die Schließung des vom Land subventionierten Flughafens Erfurt-Weimar ausgesprochen. An dessen Stelle könnte aus Sicht der Grünen ein Wohngebiet gebaut oder ein Solarpark errichtet werden.
 Lesen Sie auch: Thüringer Wahlkampf fast ohne Luftverkehr

Kritik an den Plänen kam auch von der Opposition. Die CDU-Fraktion verlangte ein tragfähiges Geschäftsmodell. Es gehe darum, Kosten zu senken, Investitionen von mehreren hundert Millionen Euro zu schützen und die Arbeitsplätze auf dem Rollfeld sowie im Umfeld des Flughafens zu sichern, erklärte der verkehrspolitische Sprecher der CDU-Fraktion, Marcus Malsch. ""Die Überlegungen der Grünen laufen dagegen auf ein großes Sonnenblumenfeld hinaus.""
Der Verkehrspolitiker der AfD-Fraktion, Thomas Rudy, brachte eine Nutzung als Logistik-Drehkreuz der Bundeswehr ins Spiel. Neben einer stärkeren militärischen Nutzung käme der Flughafen aber auch als Logistik-Standort für internationale Cargo-Flüge und damit als Ausweich- und Erweiterungsstandort für die Flughäfen in Frankfurt/Main und Leipzig infrage. Auch als Wartungsstandort für Militärflugzeuge, Passagier- und Geschäftsreisemaschinen wäre das Gelände ideal, erklärte Rudy.",Thüringer Koalitionsstreit über Flughafen Erfurt-Weimar,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/boeing-faa-abnahmefluege/56208,"Boeing und die US-Aufsichtsbehörden bereiten sich laut Insidern auf Abnahmeflüge für die 737 Max vor. Die Flüge könnten schon ab diesem Montag (29. Juni)
stattfinden, berichtete die Nachrichtenagentur Bloomberg am Freitag
und berief sich auf mit der Sache vertraute Branchenvertreter.",Boeing bereitet sich auf FAA-Abnahmeflüge vor,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/bombardier-global-5500/56205,"Bombardier hat den ersten ""Global 5500""-Businessjet an einen anonymen Kunden ausgeliefert. Das Ultralangstreckenflugzeug kommt nach Herstellerangaben auf eine maximale Reichweite von rund 11.000 Kilometern und ist für ein Dutzend Passagiere ausgelegt. Angetrieben wird der Jet von Rolls-Royce-""Pearl""-Triebwerken, die in Dahlewitz gefertigt werden.",Bombardier liefert ersten Global 5500 aus,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/singapur-bau-terminal/56204,"Am Singapore Changi Airport wird der Bau von Terminal 5 um zwei Jahre verschoben. Das sagte Verkehrsminister Khaw Boon Wan jetzt laut ""Capa"". Das neue Terminal sollte ursprünglich in einer ersten Ausbaustufe 2030 eröffnen und bis zu 50 Millionen Passagiere jährlich abfertigen.",Singapur verschiebt Bau von Terminal 5,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/passagiere-rueckholaktion-1000-euro/56203,"So viel wie für ein günstiges One-Way-Ticket aus der jeweiligen Region möchte das Auswärtige Amt allen Touristen berechnen, die mit der ""Corona-Luftbrücke"" zurückgeholt wurden. 67.000 Reisende bekommen nun Rechnungen zwischen 200 und 1000 Euro.
            
Die Bundesregierung stellt den wegen der Corona-Pandemie aus dem Ausland zurückgeholten 67.000 Touristen 200 bis 1000 Euro für die Flüge in Rechnung. Damit sollen 40 Prozent der Gesamtkosten der historisch bisher einmaligen Aktion von 94 Millionen Euro gedeckt werden.
Die Kostenbeteiligung der Gestrandeten wird gestaffelt: Für Flüge von den Kanarischen Inseln und Nordafrika müssen 200 Euro gezahlt werden, für das südliche Afrika und die Karibik werden 500 Euro fällig, Rückkehrer aus Südamerika und Asien müssen 600 Euro zahlen, und wer aus Neuseeland und Australien zurückgeholt wurde, erhält eine Rechnung über 1000 Euro.
""Mit der Pauschalenlösung hat sich die Bundesregierung für eine transparente und möglichst unbürokratische Lösung entschieden, welche die Gleichbehandlung aller Reisenden zum Ziel hat"", hieß es am Freitag aus dem Auswärtigen Amt. Man stehe damit außerdem ""im Gleichklang"" mit Regelungen in anderen EU-Ländern.
Bundesaußenminister Heiko Maas (SPD) hatte die Aktion am 17. März zusammen mit Reiseveranstaltern und Fluggesellschaften gestartet, nachdem viele Länder wegen der Corona-Pandemie kurzfristig Grenzen geschlossen und Flugverbindungen gekappt hatten. Insgesamt wurden etwa 240.000 Reisende zurückgebracht. Die Reiseveranstalter flogen die Touristen, die bei ihnen gebucht hatten, selbst kostenlos aus.
260 Flüge aus 65 Ländern
Für Individualtouristen und andere Rückkehrwillige wie beispielsweise Geschäftsreisende charterte das Auswärtige Amt selbst Maschinen, die 260 Flüge absolvierten und rund 67.000 Menschen aus rund 65 Ländern zurückbrachten. Die werden nun zur Kasse gebeten. Die Ticketpreise liegen etwa im Bereich günstiger Economy-Tickets für die jeweiligen Regionen.
Unter den 67.000 Passagieren sind etwa 56.000 deutsche Staatsangehörige, 7600 Menschen aus anderen EU-Ländern und 3650 Personen aus Staaten außerhalb der Europäischen Union. Den ausländischen Passagieren werden dieselben Kosten in Rechnung gestellt wie den Deutschen.
Eine Kostenbeteiligung der Passagiere ist im Konsulargesetz festgeschrieben. Außer ihnen beteiligt sich auch die EU mit Zuschüssen an den Flugkosten. Die deutschen Steuerzahler sind unter dem Strich dann noch mit 23 Millionen Euro oder 24 Prozent an der Aktion beteiligt.
Das Ausmaß der vom Außenminister als ""Luftbrücke"" betitelten Operation war deutlich größer als anfangs erwartet. Zunächst ging man von 30.000 Gestrandeten aus, dann schnellten die Zahlen immer weiter in die Höhe. Maas sagte einmal, er habe sich zwischenzeitlich als ""Chef des noch einzigen offenen Reisebüros in Deutschland"" gefühlt. Das Protokoll, das sonst die Ministerreisen organisiert, wurde teilweise in das Krisenreaktionszentrum integriert. Insgesamt waren mehr als 2000 Mitarbeiter des Auswärtigen Amtes - ein Drittel der Belegschaft - mit der Aktion beschäftigt.
 Lesen Sie auch: Rückholaktion für Deutsche vor dem Abschluss

Der abgelegenste Ort, aus dem Deutsche zurückgeholt wurden, liegt mehr als 16.000 Kilometer entfernt mitten im Südpazifik. Die Cook-Inseln, ein Taucherparadies am anderen Ende der Welt. Von dort, aus West-Samoa sowie aus den pazifischen Inselstaaten Vanuatu und Tonga wurden mit zwei Flugzeugen 66 Deutsche sowie 34 weitere EU-Bürger abgeholt. Aus Neuseeland, Marokko, Südafrika oder Argentinien mussten dagegen jeweils mehr als 10.000 Deutsche ausgeflogen werden.
Der letzte Charterflug des Auswärtigen Amts aus Kapstadt landete am 24. April in Frankfurt am Main. Eine Wiederholung wird es wohl so schnell nicht geben - auch nicht bei einer zweiten großen Corona-Welle. Das hat Außenminister Maas mehrfach betont. Unter anderem deswegen gilt auch die Reisewarnung für alle Länder außerhalb Europas zunächst einmal weiter.",Passagiere müssen bis zu 1000 Euro für Corona-Luftbrücke bezahlen,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/lufthansa-einigung-sabre/56202,"Ursprünglich sollte der Vertrieb von Lufthansa-Tickets über Sabre Ende Juni auslaufen. Allerdings verhandelt der GDS-Betreiber weiter mit der Airline-Gruppe über einen neuen Distributionsvertrag, schreibt ""FVW"". Solange bleiben die Flüge weiter buchbar.",Lufthansa trotz ausstehender Einigung weiter über Sabre buchbar,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/bawue-verkehrsminister-gaeubahn-tunnel-flughafen-stuttgart/56201,"Um den ""Deutschland-Takt"" im Bahnverkehr Wirklichkeit werden zu lassen, prüft der Bund allerorten zusätzliche Ausbauvorhaben. Ein weiterer Tunnel zum Flughafen würde das Projekt Stuttgart 21 jedoch zusätzlich verzögern und verteuern, warnt die Landesregierung.
            
Der Bau eines neuen Gäubahn-Tunnels würde aus Sicht von Verkehrsminister Winfried Hermann zu Verzögerungen und Kostensteigerungen im Stuttgarter Bahnknoten führen. Gutachter hatten einen solchen Tunnel für die Anbindung an den Stuttgarter Flughafen vorgeschlagen.
""Wenn man das anstrebt, muss man in Kauf nehmen, dass es teurer wird und länger dauert"", sagte der Grünen-Politiker am Freitag in Stuttgart. Man begrüße, dass sich der Bund Gedanken mache zum Stuttgarter Bahnknoten und zum anvisierten Deutschland-Takt im Rahmen des milliardenschweren Bahnprojekts S21. Zu solch einem neuen Tunnel sei aber noch keine Skizze gezeichnet. Hermann wies darauf hin, dass mit Blick auf die Gäubahn-Anbindung an den Flughafen zudem noch ein Feststellungsverfahren läuft.
 Lesen Sie auch: Erste Röhre des Stuttgart 21-Fildertunnels durchgeschlagen

Die Gäubahn ist eine internationale Eisenbahnstrecke zwischen Stuttgart und Singen mit Verbindungen in die Schweiz und nach Italien. Medienberichten zufolge gibt es im Bundesverkehrsministerium Pläne für einen neuen Gäubahn-Tunnel. Die Kosten dafür könnten demnach bei bis zu einer Milliarde Euro liegen. Nächste Woche soll in Berlin das Gutachten vorgestellt werden.
Hinter dem ""Deutschland-Takt"" steckt ein System mit besser abgestimmten Umsteige-Verbindungen. Die Bundesregierung will das Zugfahren dadurch pünktlicher, schneller und verlässlicher machen. Der Bahn war in der Vergangenheit vorgeworfen worden, der neue Tiefbahnhof in Stuttgart habe zu wenige Gleise, um den geplanten 30-Minuten-Takt auf wichtigen Verkehrsachsen zu ermöglichen.",BaWÜ-Verkehrsminister warnt vor Gäubahn-Tunnel zum Flughafen Stuttgart,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/gruene-neues-grundsatzprogramm-ende-kurzstreckenfluegen/56200,"Die Grünen legen in einem neuen Grundsatzprogramm fest, dass Nah- und Fernverkehr auf der Schiene so weit ausgebaut und vernetzt werden sollen, dass Kurzstreckenflüge ""überflüssig"" werden. Nur so könne die Verkehrswende gelingen.",Grüne: Neues Grundsatzprogramm für Ende von Kurzstreckenflügen,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/tuerkei-reisewarnung-bundesregierung-malaria-mittel-covid/56199,"Die Bundesregierung zögert mit der Aufhebung der Reisewarnung, weil man befürchtet, dass Corona-Erkrankte in der Türkei zwangsweise mit dem umstrittenen Malaria-Mittel Hydroxychloroquin behandelt werden, schreibt ""Der Spiegel"". Das Mittel wurde von US-Präsident Trump als wirksam gegen Covid-Viren angepriesen, doch die Fachwelt rät größtenteils von der Einname des Mittels ab.",Türkei-Reisewarnung: Bundesregierung zögert wegen Malaria-Mittel gegen Covid,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
https://www.airliners.de/flughafen-wien-airlines-landegebuehren-2020/56198,"Mit einer deutlichen Senkung der Tarife will der Flughafen Wien die Standort-Attraktivität für Airlines in der Corona-Krise vergrößern, berichtet ""Die Presse"". Demnach sollen in diesem Jahr keine Landegebühren in Rechnung gestellt werden, im kommenden Jahr sollen die passagierbezogenen Gebühren sinken.",Flughafen Wien erlässt Airlines Landegebühren für 2020,26.06.2020,Airliner.de,Allgemein,Global,Deutschland,Berlin
